"model.name","model.formula","family"
"NoSex-0","logweight~loglength","gaussian"
"NoSex-1","logweight~loglength+year.fac","gaussian"
"NoSex-2","logweight~loglength*year.fac","gaussian"
"NoSex-3","logweight~(1|year.fac)+loglength","gaussian"
"Sex-0","logweight~loglength+sex.fac","gaussian"
"Sex-1","logweight~loglength*sex.fac","gaussian"
"Sex-2","logweight~loglength+year.fac+sex.fac","gaussian"
"Sex-3","logweight~loglength*year.fac*sex.fac","gaussian"
"Sex-4","logweight~(1|year.fac)+loglength*sex.fac","gaussian"
"Sex-5","logweight~(1|year.fac)+loglength*sex.fac*size.fac","gaussian"
