"species","fit.measure","NoSex-0","NoSex-1","NoSex-2","NoSex-3","Sex-0","Sex-1","Sex-2","Sex-3","Sex-4","Sex-5"
10,"AIC",-130215.440928112,-131500.799765326,-131501.689425663,-137130.557747994,-130219.52835313,-130225.181103886,NA,NA,NA,NA
10,"BIC",-130186.525718319,-131462.246152269,-131453.497409341,-137092.004134936,-130180.974740073,-130176.989087564,NA,NA,NA,NA
12,"AIC",-37977.5363008619,-37976.2024033971,-38380.1840007214,-39108.5165874373,-38044.8754103719,-39061.2880108294,-38042.8856623908,-39164.3713300164,-40202.5901498048,NA
12,"BIC",-37952.30547576,-37942.5613032612,-38338.1326255515,-39074.8754873014,-38011.234310236,-39019.2366356596,-38000.8342872209,-39088.6788547106,-40152.128499601,NA
14,"AIC",-326.732406157953,-330.658860202961,-335.096514326238,-337.273930188405,NA,NA,NA,NA,NA,NA
14,"BIC",-313.283084103581,-312.726430797132,-312.680977568952,-319.341500782576,NA,NA,NA,NA,NA,NA
16,"AIC",-491.626653004323,-490.854143260718,-490.981872396678,-524.428899901794,NA,NA,NA,NA,NA,NA
16,"BIC",-480.027248833524,-475.388271032985,-471.649532112012,-508.96302767406,NA,NA,NA,NA,NA,NA
23,"AIC",-18809.0251173898,-19188.8247066058,-19404.7056997343,-20475.61399956,-18920.7063250616,-19007.7276263488,NA,NA,NA,NA
23,"BIC",-18784.54491975,-19156.1844430861,-19363.9053703347,-20442.9737360403,-18888.0660615418,-18966.9272969492,NA,NA,NA,NA
30,"AIC",-2645.83461158731,-2732.80020234027,-2736.76235162868,-2848.26671483187,-2688.3416104466,-2737.19060674373,NA,NA,NA,NA
30,"BIC",-2629.42052232275,-2710.91474998752,-2709.40553618774,-2826.38126247912,-2666.45615809385,-2709.83379130279,NA,NA,NA,NA
31,"AIC",-15903.3575681019,-16043.7623801153,-16047.5190075706,-16474.299400781,-15987.3838070402,-16212.1081730273,NA,NA,NA,NA
31,"BIC",-15881.0645655729,-16014.0383767433,-16010.3640033556,-16444.5753974091,-15957.6598036682,-16174.9531688123,NA,NA,NA,NA
40,"AIC",-147198.161158934,-155416.636708714,-156154.315672742,-166772.884759155,-147906.708080189,-152885.714395238,-155719.333227344,-160914.535222605,-172997.029938397,-178543.841950676
40,"BIC",-147167.738317078,-155376.072919572,-156103.610936314,-166732.320970013,-147866.144291046,-152835.00965881,-155668.628490916,-160823.266697035,-172936.184254684,-178401.868688678
41,"AIC",-11855.8810271024,-12299.2003115084,-12431.829635427,-12572.1668862285,-11970.2274181915,-12209.8508115225,-12383.1371012946,-12659.9977004752,-12826.6351006913,-12918.5812848774
41,"BIC",-11833.7998361979,-12269.7587236356,-12395.0276505861,-12542.7252983557,-11940.7858303187,-12173.0488266816,-12346.3351164536,-12593.7541277616,-12782.4727188822,-12815.5357273228
