"species","fit.measure.x","Min_Model.x","Min_Value.x","fit.measure.y","Min_Model.y","Min_Value.y"
10,"AIC","NoSex-3",-137130.557747994,"BIC","NoSex-3",-137092.004134936
12,"AIC","Sex-4",-40202.5901498048,"BIC","Sex-4",-40152.128499601
14,"AIC","NoSex-3",-337.273930188405,"BIC","NoSex-3",-319.341500782576
16,"AIC","NoSex-3",-524.428899901794,"BIC","NoSex-3",-508.96302767406
23,"AIC","NoSex-3",-20475.61399956,"BIC","NoSex-3",-20442.9737360403
30,"AIC","NoSex-3",-2848.26671483187,"BIC","NoSex-3",-2826.38126247912
31,"AIC","NoSex-3",-16474.299400781,"BIC","NoSex-3",-16444.5753974091
40,"AIC","Sex-5",-178543.841950676,"BIC","Sex-5",-178401.868688678
41,"AIC","Sex-5",-12918.5812848774,"BIC","Sex-5",-12815.5357273228
42,"AIC","Sex-5",-42365.2926632067,"BIC","Sex-5",-42245.7350955944
43,"AIC","Sex-5",-52361.7395897414,"BIC","Sex-5",-52242.0053218265
50,"AIC","NoSex-2",-819.04791678263,"BIC","NoSex-0",-800.227764412858
60,"AIC","NoSex-3",-22686.1221163559,"BIC","NoSex-3",-22653.6186330963
63,"AIC","NoSex-3",-2038.13592593695,"BIC","NoSex-3",-2011.95902781508
64,"AIC","NoSex-3",530.90941257609,"BIC","NoSex-3",560.158472542882
70,"AIC","NoSex-3",-4325.19389274591,"BIC","NoSex-3",-4299.94829963216
112,"AIC","NoSex-3",-410.473775828509,"BIC","NoSex-3",-390.43252835928
114,"AIC","NoSex-3",-820.611418520717,"BIC","NoSex-3",-797.425541548373
118,"AIC","NoSex-3",-1576.90569519128,"BIC","NoSex-3",-1554.21652536876
122,"AIC","NoSex-3",-836.834552805605,"BIC","NoSex-3",-816.206727347142
143,"AIC","Sex-4",-2158.14420140848,"BIC","NoSex-3",-2130.76179323674
201,"AIC","NoSex-3",-1540.28621276475,"BIC","NoSex-3",-1509.65586470835
202,"AIC","NoSex-3",-138.640735846496,"BIC","NoSex-3",-114.995439770643
204,"AIC","NoSex-3",-445.33607850083,"BIC","NoSex-3",-422.936470663996
220,"AIC","Sex-1",-2367.46436012145,"BIC","Sex-1",-2337.94268591103
300,"AIC","NoSex-3",-9876.11866687864,"BIC","NoSex-3",-9846.39338053014
610,"AIC","NoSex-3",-204.969333981462,"BIC","NoSex-3",-181.87159194025
2526,"AIC","NoSex-2",16199.3114393518,"BIC","NoSex-2",16242.7571670707
2550,"AIC","NoSex-3",95.2627673645907,"BIC","NoSex-3",105.126399839209
