area,date,sampler,crab.number,sex,maturity,carapace.width,weight,chela.length,chela.height,shell.condition,missing.legs,abdomen.width,moult.stage,claw.weight,claw.weight.dry,claw.colour,claw.hardness
PEI,1986-07-07,Mallet P. / Moriyasu M.,1,1,mature,88,274,38,19,old,1*********,22,C,9.01,3.3,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,2,1,mature,88,266,39,19,old,1*********,22,C,9.36,3.78,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,3,1,mature,88,276,38,19,old,******1***,22,C,8.87,3.52,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,4,1,,92,302,34,17,old,2****1****,23,C,7.02 regenerated,2.61,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,5,1,mature,95,356,44,22,old,***1******,24,C,13.41,4.87,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,6,1,mature,81,218,37,21,old,**********,21,C,9,9.44,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,7,1,mature,85,282,40,19,old,***1**2***,23,C,9.78,3.44,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,8,1,mature,92,258,42,20,old,**1*****1*,22,C,10.88,4.35,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,9,1,mature,92,318,42,21,old,*****2****,23,C,11.84,4.7,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,10,1,mature,83,284,35,17,new,**********,22,C,5.51,1.58,pink,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,11,1,mature,71,166,34,15,old,***1*2****,20,C,5.18,2.03,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,12,1,mature,82,212,37,19,old,****11****,21,C,6.95,5.53,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,13,1,mature,74,152,32,16,new,**********,19,C,4.71,1.94,pink,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,14,1,mature,96,310,44,22,old,*1*1*1****,24,C,13.41,4.99,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,15,1,mature,95,322,44,22,old,*1***1***1,23,C,14.04,4.9,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,16,1,mature,95,366,43,22,old,2*********,24,C,12.4,4.52,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,17,1,mature,81,216,35,19,old,*******1**,21,C,6.62,2.63,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,18,1,mature,93,300,39,21,old,*****1**11,24,C,10.3,3.89,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,19,1,mature,82,212,35,19,old,**1***1***,20,C,7.55,2.92,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,20,1,mature,85,258,41,21,old,**********,23,C,10.19,3.82,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,21,1,immature,95,262,36,18,new,1*********,22,C,6.25,1.73,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,22,1,immature,84,266,35,17,new,****2*****,23,,5.65,1.66,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,23,1,mature,78,186,32,15,old,2*********,21,C,4.33,1.77,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,24,1,immature,90,224,34,17,new,**********,22,C,5.35,1.58,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,25,1,immature,92,264,34,17,new,**********,23,C,5.35,1.59,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,26,1,immature,93,300,40,20,new,*1********,23,C,9.03,2.42,pink,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,27,1,immature,81,158,28,14,old,**111***1*,21,C,3.45,1.22,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,28,1,immature,120,686,63,32,new,**********,28,C,34.47,6.6,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,29,1,immature,105,320,44,20,new,**********,24,C,8.93,2.45,white,soft
